ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
019558	002	AB	1	1
019558	003	AB	1	1
019558	004	AB	1	1
019568	001	AB	1	1
019579	001	AB	1	1
019594	002	AB	1	1
019599	002	AB	1	1
019600	001	AB	1	1
019603	001	AP	1	1
019603	002	AP	1	1
019603	003	AP	1	1
019603	004	AP	1	1
019614	001	AB	1	1
019614	002	AB	1	1
019614	003	AB	1	1
019615	001	AP	1	1
019615	002	AP	1	1
019615	003	AP	1	1
019618	001	AB	1	1
019618	002	AB	1	1
019625	001	AB	1	1
019625	002	AB	1	1
019626	002	AP	1	1
019626	004	AP	1	1
019627	002	AB	1	1
019630	008	AP	1	1
019630	010	AP	1	1
019630	012	AP	1	1
019630	014	AP	1	1
019630	016	AP	1	1
019630	018	AP	1	1
019630	020	AP	1	1
019630	022	AP	1	1
019630	024	AP	1	1
019630	026	AP	1	1
019630	028	AP	1	1
019630	030	AP	1	1
019631	004	AP	1	1
019631	007	AP	1	1
019631	008	AP	1	1
019631	009	AP	1	1
019631	010	AP	1	1
019631	015	AP	1	1
019632	001	AP	1	1
019633	001	AP	1	1
019634	003	AP	1	1
019635	001	AP	1	1
019635	002	AP	1	1
019640	004	BX	1	1
019640	005	BX	1	1
019641	001	AB	1	1
019649	001	AB	1	1
019653	002	AB	1	1
019655	001	AB	1	1
019661	001	AP	1	1
019667	001	AP	1	1
019667	002	AP	1	1
019667	003	AP	1	1
019667	004	AP	1	1
019667	005	AP	1	1
019668	001	AB	1	1
019668	002	AB	1	1
019668	003	AB	1	1
019668	004	AB	1	1
019675	001	AA	1	1
019680	001	AB	1	1
019684	001	AB2	1	1
019684	002	AB2	1	1
019684	003	AB2	1	1
019685	002	AP	1	1
019685	004	AP	1	1
019685	008	AP	1	1
019686	001	AP	1	1
019686	002	AP	1	1
019691	001	AP	1	1
019691	002	AP	1	1
019691	003	AP	1	1
019691	004	AP	1	1
019691	005	AP	1	1
019691	006	AP	1	1
019691	007	AP	1	1
019691	008	AP	1	1
019691	009	AP	1	1
019697	001	AB	1	1
019699	004	AP	1	1
019699	006	AP	1	1
019700	001	AT	1	1
019708	004	AP	1	1
019716	001	AB	1	1
019734	001	AP	1	1
019737	001	AB	1	1
019758	001	AB	1	1
019758	002	AB	1	1
019759	001	AP	1	1
019763	001	AP	1	1
019763	002	AP	1	1
019764	002	BX	1	1
019766	001	AB	1	1
019766	002	AB	1	1
019766	003	AB	1	1
019766	004	AB	1	1
019766	005	AB	1	1
019774	002	BX	1	1
019774	003	BX	1	1
019777	001	AB	1	1
019777	002	AB	1	1
019777	003	AB	1	1
019777	004	AB	1	1
019777	005	AB	1	1
019777	006	AB	1	1
019781	001	AB	1	1
019781	002	AB	1	1
019785	001	AP	1	1
019787	001	AB	1	1
019787	002	AB	1	1
019787	003	AB	1	1
019795	001	AT	1	1
019796	001	AB	1	1
019797	001	AA	1	1
019797	002	AA	1	1
019805	001	AP	1	1
019805	002	AP	1	1
019813	001	AB	1	1
019813	002	AB	1	1
019813	003	AB	1	1
019813	004	AB	1	1
019813	005	AB	1	1
019814	001	AT	1	1
019821	001	AB	1	1
019821	002	AB	1	1
019821	003	AB	1	1
019821	004	AB	1	1
019824	001	AB	1	1
019826	001	AP	1	1
019826	002	AP	1	1
019826	003	AP	1	1
019826	006	AP	1	1
019828	001	AB	1	1
019830	002	AP	1	1
019830	003	AP	1	1
019830	004	AP	1	1
019832	003	AT	1	1
019839	001	AB	1	1
019839	002	AB	1	1
019839	005	AB	1	1
019847	001	AP	1	1
019847	002	AP	1	1
019851	001	AB	1	1
019851	002	AB	1	1
019851	003	AB	1	1
019851	004	AB	1	1
019855	001	AB	1	1
019856	001	AB	1	1
019856	002	AB	1	1
019857	001	AP	1	1
019857	002	AP	1	1
019865	001	AB1	1	1
019865	002	AB1	1	1
019865	003	AB1	1	1
019865	005	AB1	1	1
019869	001	AP	1	1
019884	001	AP	1	1
019885	001	AB	1	1
019885	002	AB	1	1
019885	003	AB	1	1
019885	004	AB	1	1
019888	001	AB	1	1
019888	002	AB	1	1
019888	003	AB	1	1
019891	001	AA	1	1
019892	001	AB	1	1
019892	002	AB	1	1
019892	003	AB	1	1
019893	001	AP	1	1
019898	003	AB	1	1
019898	004	AB	1	1
019898	008	AB	1	1
019901	001	AB	1	1
019901	002	AB	1	1
019901	003	AB	1	1
019901	004	AB	1	1
019904	001	AP	1	1
019904	002	AP	1	1
019904	003	AP	1	1
019904	004	AP	1	1
019904	005	AP	1	1
019904	006	AP	1	1
019906	001	AB	1	1
019906	002	AB	1	1
019906	003	AB	1	1
019907	001	AT	1	1
019908	001	AB	1	1
019908	002	AB	1	1
019909	001	AB	1	1
019910	001	AA	1	1
019916	001	AP	1	1
019921	001	AT	1	1
019922	001	AP	1	1
019927	001	AB	1	1
019931	001	AB	1	1
019937	002	AP	1	1
019941	001	AB	1	1
019942	001	AP	1	1
019949	001	AB	1	1
019949	002	AB	1	1
019949	003	AB	1	1
019949	004	AB	1	1
019950	001	AP	1	1
019950	002	AP	1	1
019950	003	AP	1	1
019950	004	AP	1	1
019950	005	AP	1	1
019950	006	AP	1	1
019951	001	AP	1	1
019952	001	AP	1	1
019952	004	AP	1	1
019952	005	AP	1	1
019953	001	AP	1	1
019955	001	AB	1	1
019955	002	AB	1	1
019957	001	AB	1	1
019962	001	AB	1	1
019962	002	AB	1	1
019962	003	AB	1	1
019962	004	AB	1	1
019963	001	AB2	1	1
019964	001	AB	1	1
019967	001	AB	1	1
019968	001	AB	1	1
019970	001	AP	1	1
019970	002	AP	1	1
019970	003	AP	1	1
019972	001	AT	1	1
019982	001	AB	1	1
019982	002	AB	1	1
019992	001	AT	1	1
020000	001	AP	1	1
020002	001	AP	1	1
020006	001	AP	1	1
020006	002	AP	1	1
020006	003	AP	1	1
020006	004	AP	1	1
020007	001	AP	1	1
020007	003	AP	1	1
020010	001	AB	1	1
020031	001	AB	1	1
020031	002	AB	1	1
020031	003	AB	1	1
020031	005	AB	1	1
020033	001	AB	1	1
020033	002	AB	1	1
020033	003	AB	1	1
020033	004	AB	1	1
020037	001	AT	1	1
020047	001	AP	1	1
020047	003	AP	1	1
020051	001	AB	1	1
020051	002	AB	1	1
020051	004	AB	1	1
020062	001	AB3	1	1
020062	002	AB3	1	1
020062	003	AB3	1	1
020062	004	AB3	1	1
020062	005	AB3	1	1
020064	001	AB	1	1
020067	002	AB	1	1
020067	003	AB	1	1
020068	001	AP	1	1
020071	002	AB	1	1
020075	001	AP	1	1
020075	002	AP	1	1
020075	003	AP	1	1
020079	001	AT	1	1
020080	001	AP	1	1
020080	002	AB	1	1
020080	003	AB	1	1
020083	001	AB	1	1
020089	001	AB	1	1
020089	002	AB	1	1
020090	001	AB	1	1
020090	002	AB	1	1
020103	001	AB	1	1
020103	002	AB	1	1
020103	003	AB	1	1
020105	001	AP	1	1
020114	001	AB	1	1
020122	001	AP	1	1
020125	001	AB	1	1
020125	002	AB	1	1
020125	003	AB	1	1
020130	002	AB	1	1
020132	001	AB	1	1
020132	002	AB	1	1
020132	003	AB	1	1
020134	001	AP	1	1
020136	001	AB	1	1
020136	002	AB	1	1
020136	003	AB	1	1
020136	004	AB	1	1
020140	001	AP	1	1
020145	001	AB1	1	1
020145	002	AB1	1	1
020145	004	AB1	1	1
020145	005	AB1	1	1
020156	001	AA	1	1
020161	001	AP	1	1
020161	002	AP	1	1
020161	003	AP	1	1
020161	004	AP	1	1
020161	005	AP	1	1
020161	006	AP	1	1
020163	001	AT	1	1
020163	002	AT	1	1
020163	003	AT	1	1
020164	001	AP	1	1
020164	002	AP	1	1
020164	003	AP	1	1
020164	004	AP	1	1
020164	005	AP	1	1
020164	007	AP	1	1
020164	008	AP	1	1
020164	009	AB	1	1
020169	002	AB	1	1
020171	001	AT	1	1
020171	002	AT	1	1
020171	003	AT	1	1
020178	001	AP	1	1
020178	002	AP	1	1
020179	001	AP	1	1
020179	002	AP	1	1
020180	001	AB	1	1
020182	001	AP	1	1
020183	001	AT	1	1
020184	001	AB	1	1
020184	002	AB	1	1
020184	003	AB	1	1
020186	001	AB	1	1
020186	002	AB	1	1
020186	003	AB	1	1
020189	001	AB	1	1
020189	002	AB	1	1
020189	003	AB	1	1
020198	001	AB1	1	1
020198	002	AB1	1	1
020198	003	AB1	1	1
020201	001	AP	1	1
020201	002	AP	1	1
020201	003	AP	1	1
020201	006	AP	1	1
020207	001	AP	1	1
020208	001	AB	1	1
020212	001	AP	1	1
020212	002	AP	1	1
020215	001	AB	1	1
020215	002	AB	1	1
020221	001	AP	1	1
020222	001	AB	1	1
020232	001	AB	1	1
020234	001	AB	1	1
020234	002	AB	1	1
